review,label
Mas mau tanya speda saya suzuki shogun 125 r pengapiandc. Kalo memajukan pengapian yang di potong di tonjolan magnet bagian mana belakang apa depan, 1
saya kan punya beat fi 2018.yang mau saya tanyakan waktu gas di putar seperti ada suara kemritik gitu.kalau di dengerin sih dari sebelah kanan.tpi berulang kali saya bawa ke ahass jwabnya selalu sama kalu motornya normal.bunyi itu berasal dri injector.dan memng sperti itu bnyinya?,1
apa memang benar bunyi injectornya sprti itu?soalnya kedengeran kasar banget.motornya baru 8 bulan,1
honda spacy fi saya oli gardannya suka netes sendiri setelah saya cek kebengkel ternyata crankcase kirinya retak. kira2 kalo ganti berapa ya,1
sy punya motor kaisar Ruby.jika hidup di tempat bagus aja.tp jika berjalan ada terasa tersetdat seperti bensin mo habis.padahal di tangki msh penuh.dan ada bunyi seperti orang bersin cish.dan di saat gas di tutup dan akan di tarik di awal itu lah seperti kosong dan setelah di tarik lagi dan kaget langsung melaju si Rubi nya,1
Misi om mau nanya kalo motor gua d gas setengah berebet itu masalah nya dari mana,1
Mohon petunjuk bro motor biet injeksi 2013 gas nya kadang besar kadang kecil sendiri Dan jugs nembak dari leher udara apa masalahnya bro,1
Bagaimana cara mengurus motor kalau nalpot berasap,1
tiap kali rem depan mendadak bunya jedag-jedug. begitupun ketika melibas lubang atau jalan yang kasar dengan kecepatan tinggi,0
tiap kali cornering ban belakang terasa goyang. semacam ngesot. terkadang dangdutan saat cornering,0
motor suka miring ke kanan,0
lampu sen suka gamaunya kalau tidak di gas. mohon bantuannya. terimakasih min,0
misi min satria fu ane gk mau langsam ngidupin aja susah harus d kop. trs matian. pdahal klep uda d skur. apa karbunya ya,1
Mau tanya kalau motor ga bisa di gas..kira2 apa nya..kalau di lucur hidup tapi ga bisa di gas,1
maaf min klo motor metik di stater nya gx bisa padahal aki nya baru,0
Punya saya kalau dihidupkan aman aman saja begitu juga mau jalan pasang gigi 1 dan 2.  aman aman juga. nah tapi kalau pasang gigi 3 dan 4 di atas 40 km/h. kok kaya ada suara bunyi yg gak enak d dengar pada mesin,1
mau tanya Motor vario 150 lampu indikator kedap kedip 52X apa kerusakan nya,1
Misi bang . mau tanya kalo mtr beat injeksi cbs saat di gas tarikan awal brebet dan knalpot nembak gitu apa yah bang penyebabnya,1
misi min mau tanya motor vixion ane klok jalan pelan auara kasar dan gk langsam. trs klok posisi kopling di tarik suara reda. bunyi klok,1
apa sebab nya oli mesin bisa naik dan membanjiri filter udara. pdhal tenaga mtornya msh ok seperti biasa. busi msh normal & no asap,1
Min mohon maaf saya mau tanya motor mio saya pada kecepatan mau ke 40-60 selalu mati. kalau kecepatan 20-30 berjalan normal(tidak mati) apa ya min masalah nya,1
Motor saya kan Honda Supra x 125 . Nah... Knp ya motor saya tuh kalo di bawa jauh atau mesin nya panas .. suka ada bunyi Tek..Tek..Tek. nya bang,1
Gan mau tanya.kalau velg dokar rossi bekas xeon 125.apa bisa di pakai di vario,0
supra125 sy knp ya sdh masuk gigi 1 2 3 4 tp msh ngelos. alias netral ? yg rusak apa nya ya ?,1
